,person-10y,person-1y,person-2y,person-3y,person-4y,person-5y,person-6y,person-7y,person-8y,person-9y,person-10x,person-1x,person-2x,person-3x,person-4x,person-5x,person-6x,person-7x,person-8x,person-9x,person-11y,person-11x,person-12y,person-13y,person-13x,person-14y,person-15y,person-16y,person-17y,person-17x,person-18y,person-19y,person-19x,person-20y,person-21y,person-22y,person-22x,person-23y,person-24y,person-25y,person-26y,person-27y,person-28y,person-29y,person-30y,person-31y,person-31x,person-32y,person-32x,person-33y,person-34y,person-35y,person-35x,person-36y,person-37y,person-37x,person-38y,person-39y,person-38x,person-40y,person-41y,person-41x,person-42y,person-43y,person-44y,person-45y,person-46y,person-46x,person-47y,person-47x,person-48y,person-49y,person-50y,person-51y,person-52y,person-52x,person-53y,person-53x,person-54y,person-55y,person-55x,person-56y,person-56x,person-57y,person-58y,person-58x,person-59y,person-60y
0,144.0,389.0,500.0,416.0,139.0,321.0,162.0,329.0,152.0,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,144.0,389.0,500.0,416.0,139.0,321.0,162.0,329.0,152.0,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,144.0,389.7795553531271,499.2204446468729,416.0,139.0,321.0,162.0,328.2204446468729,151.22044464687295,131.0,1109.0,60.0,135.0,178.0,1063.0,84.0,1203.0,137.0,1148.0,954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,143.23674881483748,389.26319653481687,498.976054011485,416.0,138.23674881483748,321.0,162.0,328.7421560369811,150.97589312218753,130.23406106257931,1109.0,59.0,136.0,178.0,1063.0,84.0,1203.0,136.0,1147.0,954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,143.7365510942691,389.0771022202712,499.65338208870736,416.0,137.9925831176683,322.47532583556654,162.0,329.66187024612304,150.91622873014688,129.99221161561775,1109.0,58.0,136.0,180.0,1063.0,82.0,1203.0,136.0,1146.0,953.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,143.1959699483175,389.01352337980353,499.17981508157334,416.0,137.92662630125434,322.2574032021404,162.0,329.9709524750649,150.9109817665576,129.92996085849344,1109.0,57.0,136.0,180.0,1063.0,80.0,1203.0,135.0,1146.0,952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,143.009740964559,388.99299014521904,496.91110523200547,415.2993391853624,137.91576956506015,322.1601209764408,162.0,330.06767110754686,150.91991960012723,129.92005383622475,1109.0,57.0,132.0,180.0,1063.0,80.0,1203.0,135.0,1146.0,952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,142.2588426850371,388.9874412488772,495.414721718063,415.0504387975043,137.92137680339002,321.42646720096684,162.0,330.0906887046697,150.93115748049127,129.9255881751691,1109.0,57.0,129.0,180.0,1063.0,78.0,1203.0,136.0,1146.0,952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,142.6854443307272,388.9868484162814,495.5950705253124,415.64847198066303,137.9309013826191,321.8303490290467,162.0,329.40846039489736,150.94078408446018,129.93477073099535,1109.0,57.0,126.0,180.0,1063.0,76.0,1203.0,136.0,1146.0,951.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,142.84761515412882,389.6633141477914,496.3684940900989,415.87347497871434,137.2611494903736,322.65069893695744,162.0,329.14835920895166,150.94938666711172,129.94302119926596,1109.0,58.0,124.0,180.0,1063.0,75.0,1203.0,136.0,1146.0,951.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
